time_ms,amplitude,frequency
2026-02-12 21:17:22.921,237.56,54.69
2026-02-12 21:17:23.285,270.25,128.91
2026-02-12 21:17:23.641,330.2,70.31
2026-02-12 21:17:24.005,260.87,62.5
2026-02-12 21:17:24.361,298.1,199.22
2026-02-12 21:17:24.725,291.94,148.44
2026-02-12 21:17:25.081,244.32,175.78
2026-02-12 21:17:25.445,241.07,164.06
2026-02-12 21:17:25.801,264.84,46.88
2026-02-12 21:17:26.165,249.68,39.06
2026-02-12 21:17:26.521,217.47,199.22
2026-02-12 21:17:26.885,208.18,207.03
2026-02-12 21:17:27.241,229.41,238.28
2026-02-12 21:17:27.605,259.95,62.5
2026-02-12 21:17:27.961,8491.58,66.41
2026-02-12 21:17:28.325,395.6,19.53
2026-02-12 21:17:28.681,286.68,89.84
2026-02-12 21:17:29.045,251.1,78.12
2026-02-12 21:17:29.401,260.24,242.19
2026-02-12 21:17:29.765,224.17,234.38
2026-02-12 21:17:30.121,248.9,46.88
2026-02-12 21:17:30.485,221.76,195.31
2026-02-12 21:17:30.841,257.73,191.41
2026-02-12 21:17:31.205,298.73,156.25
2026-02-12 21:17:31.561,236.27,39.06
2026-02-12 21:17:31.925,259.3,15.62
2026-02-12 21:17:32.281,238.78,23.44
2026-02-12 21:17:32.645,244.97,46.88
2026-02-12 21:17:33.001,244.28,35.16
2026-02-12 21:17:33.365,281.79,11.72
2026-02-12 21:17:33.721,265.09,152.34
2026-02-12 21:17:34.085,245.23,113.28
2026-02-12 21:17:34.441,294.08,101.56
2026-02-12 21:17:34.805,289.28,148.44
2026-02-12 21:17:35.161,329.7,148.44
2026-02-12 21:17:35.525,245.9,226.56
2026-02-12 21:17:35.881,228.48,187.5
2026-02-12 21:17:36.245,257.38,226.56
2026-02-12 21:17:36.601,261.89,3.91
2026-02-12 21:17:36.965,225.39,15.62
2026-02-12 21:17:37.321,231.66,199.22
2026-02-12 21:17:37.685,257.37,183.59
2026-02-12 21:17:38.041,232.76,175.78
2026-02-12 21:17:38.405,306.79,148.44
2026-02-12 21:17:38.761,255.25,164.06
2026-02-12 21:17:39.125,210.26,183.59
2026-02-12 21:17:39.481,266.64,218.75
2026-02-12 21:17:39.845,281.39,210.94
2026-02-12 21:17:40.201,234.59,203.12
2026-02-12 21:17:40.565,287.95,27.34
2026-02-12 21:17:40.921,274.59,7.81
